seed mass,whole plant height,leaf photosynthetic rate per leaf dry mass,leaf area per leaf dry mass,leaf nitrogen content per leaf dry mass,leaf phosphorus content per leaf dry mass,Species
0.9523182162162163,0.17227027027027028,0.22,11.40911913381579,28.2104714375,2.63,Festuca rubra
0.05,0.08841176470588236,NA,41.694315789473684,NA,NA,Filago pyramidata
0.576,0.8583333333333333,NA,22.665662349411765,NA,NA,Filipendula ulmaria
64.47474347368421,19.955,0.187812,12.471290744506154,27.966666666666665,1.8,Fraxinus excelsior
30.087415200000002,16.366633719892953,NA,24.828075062222222,26.178384285714287,2.317454,Fraxinus pennsylvanica
3.2119999999999997,0.52,NA,28.538008658,NA,NA,Fumaria officinalis
9.922787095238094,0.7247024166666667,NA,33.020758424161286,30.970345299999998,NA,Galium aparine
0.91,0.45535714285714285,NA,33.7345,NA,NA,Galium palustre
0.6166666666666667,0.12277777777777778,NA,24.2,NA,NA,Galium saxatile
NA,0.10642857142857143,NA,20.088,NA,NA,Galium verrucosum
4.425,0.2875,NA,27.450000000000003,NA,NA,Geranium columbinum
2.2120092666666666,0.27666666666666667,NA,22.092544919999998,NA,NA,Geranium dissectum
0.47500000000000003,0.203125,NA,27.425,NA,NA,Geranium lucidum
1.07183625,0.219,NA,27.780006666666665,NA,NA,Geranium molle
NA,0.575,NA,20.47,NA,NA,Geranium palustre
1.87,0.240625,NA,NA,NA,NA,Geranium purpureum
NA,0.18180000000000002,NA,26.883119102,NA,NA,Geranium pusillum
1.0023525555555555,0.27012125,NA,36.6050986026087,25.7682,NA,Geranium robertianum
1.39,0.184375,NA,NA,NA,NA,Geranium rotundifolium
1.16775,NA,NA,NA,NA,NA,Geum aleppicum
0.6969241428571429,1,NA,NA,NA,NA,Geum macrophyllum
1.7501333333333333,0.3522727272727273,NA,36.002128831363635,NA,NA,Geum urbanum
0.69,0.2425,NA,35.160444441428574,NA,NA,Glechoma hederacea
0.0165,0.11875000000000001,NA,37.931062923999995,NA,NA,Gnaphalium uliginosum
23.27036375,12.57559525,NA,11.850317826086956,16.83582,NA,Hedera helix
1.27,0.14375,NA,13.4,NA,NA,Helianthemum apenninum
NA,3.7,NA,26.698571428571427,NA,NA,Heracleum mantegazzianum
7.7147,1.35625,NA,21.473155992,46.43575,4.29686,Heracleum sphondylium
0.13646666666666668,0.1425,NA,19.78074961318182,NA,NA,Hieracium pilosella
0.33,NA,NA,56.866,NA,NA,Hieracium vulgatum
